month,date_of_retrieval_,operator,plan,max_speed,plan_type,connection_type,contract_duration,price_of_plan,price_per_mbps
2013-05,10/5/2013,M1,M1 25mbps,25,Residential,Fixed Broadband,2 year contract,39,1.56
2013-05,10/5/2013,M1,M1 50mbps,50,Residential,Fixed Broadband,2 year contract,49,0.98
2013-05,10/5/2013,M1,M1 100mbps,100,Residential,Fixed Broadband,2 year contract,59,0.59
2013-05,10/5/2013,M1,M1 150mbps,150,Residential,Fixed Broadband,2 year contract,79,0.53
2013-05,10/5/2013,M1,M1 200mbps,200,Residential,Fixed Broadband,2 year contract,99,0.5
2013-05,10/5/2013,M1,M1 250mbps,250,Residential,Fixed Broadband,2 year contract,119,0.48
2013-05,10/5/2013,M1,M1 300mbps,300,Residential,Fixed Broadband,2 year contract,na,na
2013-05,10/5/2013,M1,M1 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-05,10/5/2013,M1,M1 1000mbps,1000,Residential,Fixed Broadband,2 year contract,399,0.4
2013-05,10/5/2013,M1,M1 gamepro 1000,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-05,10/5/2013,Super Internet,Basic residential service 100 mbps,100,Residential,Fixed Broadband,2 year contract,50,0.5
2013-05,10/5/2013,Super Internet,Home premium service 100 mbps,100,Residential,Fixed Broadband,2 year contract,125,1.25
2013-05,10/5/2013,Viewqwest,Fibernet raptor 200,200,Residential,Fibre,2 year contract,na,na
2013-05,10/5/2013,Viewqwest,Fibernet raptor,na,Residential,Fibre,2 year contract,79.95,na
2013-05,10/5/2013,Viewqwest,Fibernet 100,100,Residential,Fibre,2 year contract,na,na
2013-05,10/5/2013,Viewqwest,Fibernet 150,150,Residential,Fibre,2 year contract,59.95,0.4
2013-05,10/5/2013,Viewqwest,Fibernet 200,200,Residential,Fibre,2 year contract,na,na
2013-05,10/5/2013,Viewqwest,Fibernet 300,300,Residential,Fibre,2 year contract,95.95,0.32
2013-05,10/5/2013,Viewqwest,Fibernet 400,400,Residential,Fibre,2 year contract,na,na
2013-05,10/5/2013,Viewqwest,Fibernet 500,500,Residential,Fibre,2 year contract,299.95,0.6
2013-05,10/5/2013,Viewqwest,Fibernet 600,600,Residential,Fibre,2 year contract,na,na
2013-05,10/5/2013,Viewqwest,Fibernet 1000,1000,Residential,Fibre,2 year contract,499.95,0.5
2013-05,10/5/2013,Viewqwest,Fibernet 2000,2000,Residential,Fibre,2 year contract,na,na
